ファーストサーブ成功率,ファーストサーブ時得点率,サーブポイント中のファーストサーブでの得点率,１サーブゲームあたりのダブルフォルト数,サーブキープ率,エースでの得点率,得点率,セットの勝敗
63,66,41.58,0.166666667,66.66666667,17.77777778,46.875,1
72,64,46.08,0.166666667,66.66666667,7.843137255,53.125,0
71,71,50.41,0.2,80,16,43.10344828,0
63,87,54.81,0,100,3.03030303,56.89655172,1
63,60,37.8,0.25,75,13.04347826,44.23076923,0
82,78,63.96,0,100,20.68965517,55.76923077,1
59,47,27.73,0.2,40,0,42.85714286,0
90,67,60.3,0,75,10.71428571,57.14285714,1
69,75,51.75,0,80,10,54.54545455,1
69,72,49.68,0.4,60,8,45.45454545,0
69,83,57.27,0.333333333,83.33333333,6.382978723,51.08695652,1
90,65,58.5,0,83.33333333,17.77777778,48.91304348,0
69,92,63.48,0.166666667,100,10,53.33333333,1
75,70,52.5,0.166666667,100,8.571428571,46.66666667,0
73,63,45.99,0.2,60,15.15151515,45.20547945,0
80,65,52,0,80,5,54.79452055,1
53,81,42.93,0.2,80,3.125,54.23728814,1
62,72,44.64,0.6,60,3.703703704,45.76271186,0
53,65,34.45,0.5,100,6.25,57.14285714,1
46,64,29.44,0.5,50,8.333333333,42.85714286,0
63,87,54.81,0.25,75,9.523809524,41.17647059,0
70,89,62.3,0,100,6.666666667,58.82352941,1
69,64,44.16,0,80,10.34482759,44.61538462,0
66,84,55.44,0,100,5.555555556,55.38461538,1
32,100,32.0,0.0,100.0,3.8461538461538463,70.27027027027027,1
58,55,31.9,0.0,33.33333333333333,9.090909090909092,29.72972972972973,0
58,87,50.46,0.75,75.0,12.5,34.78260869565217,0
90,100,90.0,0.0,100.0,13.333333333333334,65.21739130434783,1
57,59,33.63,0.2,60.0,3.571428571428571,46.666666666666664,0
83,68,56.44,0.2,80.0,9.375,53.333333333333336,1
70,57,39.9,0.25,50.0,0.0,43.63636363636363,0
80,75,60.0,0.0,100.0,16.129032258064516,56.36363636363636,1
